gender,parent_age,child_age,key,array_index,premi
PRIA,20,2,ki,5,15.45
PRIA,20,2,ki,6,22.90
PRIA,20,2,ki,7,45.80
PRIA,20,2,ki,8,229.00
PRIA,20,2,ku,2,929
PRIA,20,2,ku,3,1254
PRIA,20,2,ku,4,1672
PRIA,20,2,ku,5,2229
PRIA,20,2,ku,6,2972
PRIA,20,2,ku,7,3715
PRIA,20,2,ku,8,7430
PRIA,20,3,ji,3,5.64
PRIA,20,3,ji,4,7.05
PRIA,20,3,ji,5,8.46
PRIA,20,3,ji,6,12.70
PRIA,20,3,ji,7,22.60
PRIA,20,3,ji,8,113.00
PRIA,20,3,ju,3,636
PRIA,20,3,ju,4,848
PRIA,20,3,ju,5,1146
PRIA,20,3,ju,6,1528
PRIA,20,3,ju,7,1910
PRIA,20,3,ju,8,3390
